investor,ticker,company_name,position_type,detail,source_type,source_detail,date,bio_short,bio_long,website,x_handle 
Lawrence Lepard,CBGZF,Cabral Gold Inc,stake,"Named holding; ON BOARD (director), Brazil, near-term heap-leach producer",interview,Mining Stock Education / Bill Powers,2026-06,,,,
Rick Rule,RGLD,Royal Gold Inc,public_statement,named holding / loves royalty model,interview,VRIC 2026 / Triangle Investor,2026-01,,,,
Rick Rule,GLDG,GoldMining Inc,public_statement,named long-term hold,interview,Triangle Investor portfolio breakdown,2025-12,,,,
Rick Rule,MUX,McEwen Inc,public_statement,owns; copper upside,interview,Triangle Investor portfolio breakdown,2025-12,,,,
Rick Rule,ODV,Osisko Development Corp,public_statement,owns,interview,Triangle Investor portfolio breakdown,2025-12,,,,
Rick Rule,SCTSF,Scottie Resources Corp,public_statement,small position,interview,Triangle Investor portfolio breakdown,2025-12,,,,
Rick Rule,HHLKF,Hot Chili Ltd,public_statement,owns; large deposit,interview,Triangle Investor portfolio breakdown,2025-12,,,,
Rick Rule,VZLA,Vizsla Silver Corp,public_statement,named silver reinvestment holding,interview,"INN, after VRIC 2026",2026-02-16,,,,
Garrett Goggin,NEM,Newmont Corp,public_statement,Named pick; called the rebound,public commentary,Golden Portfolio / interviews,2025,,,,
Garrett Goggin,ELE,Elemental Royalty,public_statement,Named pick; called the rebound,public commentary,Golden Portfolio / interviews,2026,,,,
Don Durrett,AUMBF,1911 Gold Corp,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,USAS,Americas Gold & Silver Corp,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,ADSLF,Andean Silver Ltd,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,ASM,Avino Silver & Gold Mines Ltd,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,AYA,Aya Gold & Silver Inc,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,ASX: BMC,BMC Minerals Ltd,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,ASX: CMM,Capricorn Metals Ltd,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,CDE,Coeur Mining Inc,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,DSVSF,Discovery Silver Corp,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,EXK,Endeavour Silver Corp,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,AG,First Majestic Silver Corp,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,FNLPF,Fresnillo Plc,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,GLGDF,Gogold Resources,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,ASX: GGP,Greatland Resources Ltd,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,GSVRF,Guanajuato Silver,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,HL,Hecla Mining Company,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,HBEIF,Honey Badger Silver,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,NXGCF,NexGold Mining Corp,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,PAAS,Pan American Silver Corp,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,RMLRF,Ramelius Resources Ltd,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,RGRNF,Regis Resources Ltd,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,SCZM,Santacruz Silver Mining Ltd,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,TSKFF,Talisker Resources Ltd,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,VZLA,Vizsla Silver Corp,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Don Durrett,WGXRF,Westgold Resources Ltd,stake,named holding,X Social Media,25 Must Own List,5/8/2026,,,,
Ross Beaty,EQX,Equinox Gold Corp,stake,~3.5% / ~27.1M sh,exchange filings / press,"Early-2026 filings, Chair Emeritus",2026-01,,,,
Ross Beaty,PAAS,Pan American Silver Corp,stake,"2,828,680 sh (founder, long-term holder)",SEC / GuruFocus,Reporting holdings,2026-05,,,,
Ross Beaty,NEWP,New Pacific Metals Corp,stake,"14,724,068 sh",SEC / GuruFocus,Reporting holdings,2026-05,,,,
Ross Beaty,ARREF,Amerigo Resources Ltd,stake,"17,747,792 sh",SEC / GuruFocus,Reporting holdings,2026-05,,,,
Pierre Lassonde,ORLA,Orla Mining Ltd,stake,"10% security holder; ~25,859,363 sh",SEC Form 4 / GuruFocus,Reporting owner holdings,2026-05-11,,,,
Pierre Lassonde,PRYMF,Prime Mining Corp,stake,"10% security holder; ~13,920,978 sh",SEC Form 4 / GuruFocus,Reporting owner holdings,2026-05-11,,,,
Pierre Lassonde,AGXMF,Argentex Mining Corp,stake,"10% security holder; ~13,030,000 sh",SEC Form 4 / GuruFocus,Reporting owner holdings,2026-05-11,,,,
Frank Giustra,ARIS,Aris Mining Corp,stake,"~24.18% (direct + Radcliffe), co-founder",SEC filing / InvestorsHub,Post debt-restructuring conversion disclosure,2025,,,,
Frank Giustra,LBCMF,Libero Copper & Gold Corp,stake,11.2% stake; Fiore Group,press / Globe and Mail,"Acquired Mar 11, 2024",2024-03-11,,,,
Frank Giustra,NRYCF,Nations Royalty Corp,stake,Founder (2024),company / MarketScreener,Founder disclosure,2024,,,,
Frank Giustra,ONVEF,Oronova Energy (to become Seva Mining),company_holding,First Mining/Fiore-backed deal; largest shareholder,press release,"First Mining PR, Nov 20, 2025",2025-11-20,,,,
Jon Binder,AUMBF,1911 Gold Corp,stake,named holding,X Social Media,named holding,2026-06-18,,,,
Jon Binder,HSTXF,Heliostar Metals Ltd,stake,named holding,X Social Media,named holding,2026-06-18,,,,
